OSU_RTS.MDBUS_CC.376C_HF Time [SNAP],OSU_RTS.MDBUS_CC.376C_HF Value [SNAP],OSU_RTS.MDBUS_CC.376C_HF Status [SNAP],OSU_RTS.MDBUS_CC.376C_HGT Time [SNAP],OSU_RTS.MDBUS_CC.376C_HGT Value [SNAP],OSU_RTS.MDBUS_CC.376C_HGT Status [SNAP],OSU_RTS.MDBUS_RT.376S_C Time [SNAP],OSU_RTS.MDBUS_RT.376S_C Value [SNAP],OSU_RTS.MDBUS_RT.376S_C Status [SNAP],OSU_RTS.MDBUS_RT.376S_DP Time [SNAP],OSU_RTS.MDBUS_RT.376S_DP Value [SNAP],OSU_RTS.MDBUS_RT.376S_DP Status [SNAP],OSU_RTS.MDBUS_RT.376S_HF Time [SNAP],OSU_RTS.MDBUS_RT.376S_HF Value [SNAP],OSU_RTS.MDBUS_RT.376S_HF Status [SNAP],OSU_RTS.MDBUS_RT.376S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.376S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.376S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.376S_I Time [SNAP],OSU_RTS.MDBUS_RT.376S_I Value [SNAP],OSU_RTS.MDBUS_RT.376S_I Status [SNAP],OSU_RTS.MDBUS_RT.376S_P Time [SNAP],OSU_RTS.MDBUS_RT.376S_P Value [SNAP],OSU_RTS.MDBUS_RT.376S_P Status [SNAP],OSU_RTS.MDBUS_RT.376S_T Time [SNAP],OSU_RTS.MDBUS_RT.376S_T Value [SNAP],OSU_RTS.MDBUS_RT.376S_T Status [SNAP],OSU_RTS.OPCRTS.376_C1T Time [SNAP],OSU_RTS.OPCRTS.376_C1T Value [SNAP],OSU_RTS.OPCRTS.376_C1T Status [SNAP],OSU_RTS.OPCRTS.376_C2T Time [SNAP],OSU_RTS.OPCRTS.376_C2T Value [SNAP],OSU_RTS.OPCRTS.376_C2T Status [SNAP],OSU_RTS.OPCRTS.376_C3T Time [SNAP],OSU_RTS.OPCRTS.376_C3T Value [SNAP],OSU_RTS.OPCRTS.376_C3T Status [SNAP],OSU_RTS.OPCRTS.376_C4T Time [SNAP],OSU_RTS.OPCRTS.376_C4T Value [SNAP],OSU_RTS.OPCRTS.376_C4T Status [SNAP],OSU_RTS.OPCRTS.376_C5T Time [SNAP],OSU_RTS.OPCRTS.376_C5T Value [SNAP],OSU_RTS.OPCRTS.376_C5T Status [SNAP],OSU_RTS.OPCRTS.376_CDT Time [SNAP],OSU_RTS.OPCRTS.376_CDT Value [SNAP],OSU_RTS.OPCRTS.376_CDT Status [SNAP],OSU_RTS.OPCRTS.376_CHF Time [SNAP],OSU_RTS.OPCRTS.376_CHF Value [SNAP],OSU_RTS.OPCRTS.376_CHF Status [SNAP],OSU_RTS.OPCRTS.376_CHT Time [SNAP],OSU_RTS.OPCRTS.376_CHT Value [SNAP],OSU_RTS.OPCRTS.376_CHT Status [SNAP],OSU_RTS.OPCRTS.376_CRWT Time [SNAP],OSU_RTS.OPCRTS.376_CRWT Value [SNAP],OSU_RTS.OPCRTS.376_CRWT Status [SNAP],OSU_RTS.OPCRTS.376_CSWT Time [SNAP],OSU_RTS.OPCRTS.376_CSWT Value [SNAP],OSU_RTS.OPCRTS.376_CSWT Status [SNAP],OSU_RTS.OPCRTS.376_CVF Time [SNAP],OSU_RTS.OPCRTS.376_CVF Value [SNAP],OSU_RTS.OPCRTS.376_CVF Status [SNAP],OSU_RTS.OPCRTS..376_CWP Time [SNAP],OSU_RTS.OPCRTS..376_CWP Value [SNAP],OSU_RTS.OPCRTS..376_CWP Status [SNAP],OSU_RTS.OPCRTS.376_CWST Time [SNAP],OSU_RTS.OPCRTS.376_CWST Value [SNAP],OSU_RTS.OPCRTS.376_CWST Status [SNAP],OSU_RTS.OPCRTS.376_E1C Time [SNAP],OSU_RTS.OPCRTS.376_E1C Value [SNAP],OSU_RTS.OPCRTS.376_E1C Status [SNAP],OSU_RTS.OPCRTS.376_E2C Time [SNAP],OSU_RTS.OPCRTS.376_E2C Value [SNAP],OSU_RTS.OPCRTS.376_E2C Status [SNAP],OSU_RTS.OPCRTS.376_E3C Time [SNAP],OSU_RTS.OPCRTS.376_E3C Value [SNAP],OSU_RTS.OPCRTS.376_E3C Status [SNAP],OSU_RTS.OPCRTS.376_E4C Time [SNAP],OSU_RTS.OPCRTS.376_E4C Value [SNAP],OSU_RTS.OPCRTS.376_E4C Status [SNAP],OSU_RTS.OPCRTS..376_HEAT Time [SNAP],OSU_RTS.OPCRTS..376_HEAT Value [SNAP],OSU_RTS.OPCRTS..376_HEAT Status [SNAP],OSU_RTS.OPCRTS.376_KW Time [SNAP],OSU_RTS.OPCRTS.376_KW Value [SNAP],OSU_RTS.OPCRTS.376_KW Status [SNAP],OSU_RTS.OPCRTS.376_TONS Time [SNAP],OSU_RTS.OPCRTS.376_TONS Value [SNAP],OSU_RTS.OPCRTS.376_TONS Status [SNAP],OSU_RTS.OPCRTS..376_W1 Time [SNAP],OSU_RTS.OPCRTS..376_W1 Value [SNAP],OSU_RTS.OPCRTS..376_W1 Status [SNAP],Comments
10/15/18 0:00,18.24460793,OK,10/15/18 0:00,394828.9063,OK,10/15/18 0:00,41045.91406,OK,10/15/18 0:00,28.17631912,OK,10/15/18 0:00,1644.432129,OK,10/15/18 0:00,50216820,OK,10/15/18 0:00,1.361427124,OK,10/15/18 0:00,184.7713165,OK,10/15/18 0:00,396.2541199,OK,10/15/18 0:00,13454530,OK,10/15/18 0:00,13983030,OK,10/15/18 0:00,14827850,OK,10/15/18 0:00,12894810,OK,10/15/18 0:00,16023120,OK,10/15/18 0:00,1.29068,OK,10/15/18 0:00,1.468768,OK,10/15/18 0:00,32902.42,OK,10/15/18 0:00,47.8759,OK,10/15/18 0:00,46.58522,OK,10/15/18 0:00,27.31152,OK,10/15/18 0:00,70.95947,OK,10/15/18 0:00,40.7343,OK,10/15/18 0:00,1641969,OK,10/15/18 0:00,6308968,OK,10/15/18 0:00,4092590,OK,10/15/18 0:00,4068007,OK,10/15/18 0:00,120.6066,OK,10/15/18 0:00,0.9252207,OK,10/15/18 0:00,671.4221,OK,10/15/18 0:00,3522650,OK,
10/15/18 0:15,21.01627159,OK,10/15/18 0:15,394833.8438,OK,10/15/18 0:15,41046.22656,OK,10/15/18 0:15,25.64745712,OK,10/15/18 0:15,1457.884888,OK,10/15/18 0:15,50217196,OK,10/15/18 0:15,1.206929321,OK,10/15/18 0:15,183.3382721,OK,10/15/18 0:15,395.9091187,OK,10/15/18 0:15,13454530,OK,10/15/18 0:15,13983030,OK,10/15/18 0:15,14827850,OK,10/15/18 0:15,12894810,OK,10/15/18 0:15,16023280,OK,10/15/18 0:15,1.571808,OK,10/15/18 0:15,1.804195,OK,10/15/18 0:15,32902.83,OK,10/15/18 0:15,48.12746,OK,10/15/18 0:15,46.55022,OK,10/15/18 0:15,27.30969,OK,10/15/18 0:15,70.96906,OK,10/15/18 0:15,40.54625,OK,10/15/18 0:15,1641991,OK,10/15/18 0:15,6309016,OK,10/15/18 0:15,4092591,OK,10/15/18 0:15,4068091,OK,10/15/18 0:15,120.5836,OK,10/15/18 0:15,0.9381525,OK,10/15/18 0:15,670.6329,OK,10/15/18 0:15,3524776,OK,
10/15/18 0:30,15.56303978,OK,10/15/18 0:30,394838.75,OK,10/15/18 0:30,41046.53516,OK,10/15/18 0:30,26.60581207,OK,10/15/18 0:30,1530.348999,OK,10/15/18 0:30,50217568,OK,10/15/18 0:30,1.267471802,OK,10/15/18 0:30,184.416214,OK,10/15/18 0:30,395.388855,OK,10/15/18 0:30,13454530,OK,10/15/18 0:30,13983030,OK,10/15/18 0:30,14827850,OK,10/15/18 0:30,12894810,OK,10/15/18 0:30,16023450,OK,10/15/18 0:30,1.049286,OK,10/15/18 0:30,1.193052,OK,10/15/18 0:30,32903.24,OK,10/15/18 0:30,47.99281,OK,10/15/18 0:30,46.94264,OK,10/15/18 0:30,27.28833,OK,10/15/18 0:30,71.51318,OK,10/15/18 0:30,40.67722,OK,10/15/18 0:30,1642013,OK,10/15/18 0:30,6309066,OK,10/15/18 0:30,4092592,OK,10/15/18 0:30,4068175,OK,10/15/18 0:30,120.5149,OK,10/15/18 0:30,0.9210455,OK,10/15/18 0:30,694.1837,OK,10/15/18 0:30,3525759,OK,
10/15/18 0:45,21.17164803,OK,10/15/18 0:45,394843.5625,OK,10/15/18 0:45,41046.84375,OK,10/15/18 0:45,26.42660904,OK,10/15/18 0:45,1513.165039,OK,10/15/18 0:45,50217944,OK,10/15/18 0:45,1.253270508,OK,10/15/18 0:45,183.3037872,OK,10/15/18 0:45,395.005127,OK,10/15/18 0:45,13454530,OK,10/15/18 0:45,13983030,OK,10/15/18 0:45,14827850,OK,10/15/18 0:45,12894810,OK,10/15/18 0:45,16023620,OK,10/15/18 0:45,1.417389,OK,10/15/18 0:45,1.660345,OK,10/15/18 0:45,32903.65,OK,10/15/18 0:45,48.12248,OK,10/15/18 0:45,46.69661,OK,10/15/18 0:45,27.34671,OK,10/15/18 0:45,71.68732,OK,10/15/18 0:45,40.37225,OK,10/15/18 0:45,1642035,OK,10/15/18 0:45,6309115,OK,10/15/18 0:45,4092593,OK,10/15/18 0:45,4068260,OK,10/15/18 0:45,120.4965,OK,10/15/18 0:45,0.9166507,OK,10/15/18 0:45,660.0781,OK,10/15/18 0:45,3525759,OK,
10/15/18 1:00,22.45722008,OK,10/15/18 1:00,394848.4688,OK,10/15/18 1:00,41047.16016,OK,10/15/18 1:00,26.6486454,OK,10/15/18 1:00,1531.638062,OK,10/15/18 1:00,50218328,OK,10/15/18 1:00,1.268564453,OK,10/15/18 1:00,183.9836884,OK,10/15/18 1:00,395.2196655,OK,10/15/18 1:00,13454530,OK,10/15/18 1:00,13983030,OK,10/15/18 1:00,14827850,OK,10/15/18 1:00,12894810,OK,10/15/18 1:00,16023790,OK,10/15/18 1:00,1.612915,OK,10/15/18 1:00,1.838726,OK,10/15/18 1:00,32904.05,OK,10/15/18 1:00,48.69029,OK,10/15/18 1:00,47.07738,OK,10/15/18 1:00,27.36005,OK,10/15/18 1:00,71.69012,OK,10/15/18 1:00,40.91032,OK,10/15/18 1:00,1642056,OK,10/15/18 1:00,6309164,OK,10/15/18 1:00,4092594,OK,10/15/18 1:00,4068341,OK,10/15/18 1:00,120.5699,OK,10/15/18 1:00,0.9161661,OK,10/15/18 1:00,677.0825,OK,10/15/18 1:00,3525759,OK,
10/15/18 1:15,17.99083138,OK,10/15/18 1:15,394853.4063,OK,10/15/18 1:15,41047.48047,OK,10/15/18 1:15,26.25917435,OK,10/15/18 1:15,1507.077026,OK,10/15/18 1:15,50218708,OK,10/15/18 1:15,1.248395142,OK,10/15/18 1:15,184.7260895,OK,10/15/18 1:15,395.1743774,OK,10/15/18 1:15,13454530,OK,10/15/18 1:15,13983030,OK,10/15/18 1:15,14827850,OK,10/15/18 1:15,12894810,OK,10/15/18 1:15,16023960,OK,10/15/18 1:15,1.450134,OK,10/15/18 1:15,1.650148,OK,10/15/18 1:15,32904.47,OK,10/15/18 1:15,48.42592,OK,10/15/18 1:15,46.97572,OK,10/15/18 1:15,27.31454,OK,10/15/18 1:15,71.61322,OK,10/15/18 1:15,40.75308,OK,10/15/18 1:15,1642079,OK,10/15/18 1:15,6309214,OK,10/15/18 1:15,4092596,OK,10/15/18 1:15,4068426,OK,10/15/18 1:15,120.6524,OK,10/15/18 1:15,0.9250601,OK,10/15/18 1:15,683.6926,OK,10/15/18 1:15,3525759,OK,
10/15/18 1:30,18.77697563,OK,10/15/18 1:30,394858.0938,OK,10/15/18 1:30,41047.78516,OK,10/15/18 1:30,25.53718948,OK,10/15/18 1:30,1452.634521,OK,10/15/18 1:30,50219080,OK,10/15/18 1:30,1.203772583,OK,10/15/18 1:30,183.8585968,OK,10/15/18 1:30,394.1461182,OK,10/15/18 1:30,13454530,OK,10/15/18 1:30,13983030,OK,10/15/18 1:30,14827850,OK,10/15/18 1:30,12894810,OK,10/15/18 1:30,16024130,OK,10/15/18 1:30,1.179138,OK,10/15/18 1:30,1.346124,OK,10/15/18 1:30,32904.86,OK,10/15/18 1:30,48.53609,OK,10/15/18 1:30,47.35695,OK,10/15/18 1:30,27.3988,OK,10/15/18 1:30,71.78436,OK,10/15/18 1:30,40.77403,OK,10/15/18 1:30,1642102,OK,10/15/18 1:30,6309263,OK,10/15/18 1:30,4092597,OK,10/15/18 1:30,4068512,OK,10/15/18 1:30,120.5286,OK,10/15/18 1:30,0.8917211,OK,10/15/18 1:30,716.6298,OK,10/15/18 1:30,3525759,OK,
10/15/18 1:45,12.85898399,OK,10/15/18 1:45,394862.75,OK,10/15/18 1:45,41048.09375,OK,10/15/18 1:45,27.554039,OK,10/15/18 1:45,1601.070435,OK,10/15/18 1:45,50219448,OK,10/15/18 1:45,1.32730957,OK,10/15/18 1:45,185.0757904,OK,10/15/18 1:45,393.7358704,OK,10/15/18 1:45,13454530,OK,10/15/18 1:45,13983030,OK,10/15/18 1:45,14827850,OK,10/15/18 1:45,12894810,OK,10/15/18 1:45,16024310,OK,10/15/18 1:45,0.9934387,OK,10/15/18 1:45,1.137223,OK,10/15/18 1:45,32905.24,OK,10/15/18 1:45,48.28651,OK,10/15/18 1:45,47.29308,OK,10/15/18 1:45,27.4736,OK,10/15/18 1:45,71.68066,OK,10/15/18 1:45,40.54695,OK,10/15/18 1:45,1642123,OK,10/15/18 1:45,6309313,OK,10/15/18 1:45,4092598,OK,10/15/18 1:45,4068600,OK,10/15/18 1:45,120.469,OK,10/15/18 1:45,0.9229884,OK,10/15/18 1:45,698.6684,OK,10/15/18 1:45,3525937,OK,
10/15/18 2:00,21.81679153,OK,10/15/18 2:00,394867.3125,OK,10/15/18 2:00,41048.40625,OK,10/15/18 2:00,26.58683777,OK,10/15/18 2:00,1530.84729,OK,10/15/18 2:00,50219828,OK,10/15/18 2:00,1.269291382,OK,10/15/18 2:00,184.7077637,OK,10/15/18 2:00,393.322876,OK,10/15/18 2:00,13454530,OK,10/15/18 2:00,13983030,OK,10/15/18 2:00,14827850,OK,10/15/18 2:00,12894810,OK,10/15/18 2:00,16024480,OK,10/15/18 2:00,1.64328,OK,10/15/18 2:00,1.867099,OK,10/15/18 2:00,32905.62,OK,10/15/18 2:00,48.79222,OK,10/15/18 2:00,47.14894,OK,10/15/18 2:00,27.26886,OK,10/15/18 2:00,72.00757,OK,10/15/18 2:00,40.82695,OK,10/15/18 2:00,1642144,OK,10/15/18 2:00,6309362,OK,10/15/18 2:00,4092599,OK,10/15/18 2:00,4068687,OK,10/15/18 2:00,120.5332,OK,10/15/18 2:00,0.8983957,OK,10/15/18 2:00,708.4841,OK,10/15/18 2:00,3525989,OK,
10/15/18 2:15,21.57163239,OK,10/15/18 2:15,394872.25,OK,10/15/18 2:15,41048.72656,OK,10/15/18 2:15,26.35560989,OK,10/15/18 2:15,1512.463623,OK,10/15/18 2:15,50220212,OK,10/15/18 2:15,1.254050293,OK,10/15/18 2:15,184.2239838,OK,10/15/18 2:15,393.1753845,OK,10/15/18 2:15,13454530,OK,10/15/18 2:15,13983030,OK,10/15/18 2:15,14827850,OK,10/15/18 2:15,12894810,OK,10/15/18 2:15,16024660,OK,10/15/18 2:15,1.50238,OK,10/15/18 2:15,1.624452,OK,10/15/18 2:15,32906.04,OK,10/15/18 2:15,48.70662,OK,10/15/18 2:15,47.25035,OK,10/15/18 2:15,27.31726,OK,10/15/18 2:15,72.0553,OK,10/15/18 2:15,40.75237,OK,10/15/18 2:15,1642163,OK,10/15/18 2:15,6309412,OK,10/15/18 2:15,4092600,OK,10/15/18 2:15,4068776,OK,10/15/18 2:15,120.6799,OK,10/15/18 2:15,0.8832607,OK,10/15/18 2:15,720.0296,OK,10/15/18 2:15,3526694,OK,
10/15/18 2:30,21.47458839,OK,10/15/18 2:30,394877.1563,OK,10/15/18 2:30,41049.03125,OK,10/15/18 2:30,25.39841843,OK,10/15/18 2:30,1443.073242,OK,10/15/18 2:30,50220580,OK,10/15/18 2:30,1.196916626,OK,10/15/18 2:30,183.9611359,OK,10/15/18 2:30,392.4419556,OK,10/15/18 2:30,13454530,OK,10/15/18 2:30,13983030,OK,10/15/18 2:30,14827850,OK,10/15/18 2:30,12894810,OK,10/15/18 2:30,16024840,OK,10/15/18 2:30,1.555939,OK,10/15/18 2:30,1.769624,OK,10/15/18 2:30,32906.44,OK,10/15/18 2:30,49.00359,OK,10/15/18 2:30,47.44765,OK,10/15/18 2:30,27.29605,OK,10/15/18 2:30,71.8504,OK,10/15/18 2:30,40.79866,OK,10/15/18 2:30,1642183,OK,10/15/18 2:30,6309462,OK,10/15/18 2:30,4092601,OK,10/15/18 2:30,4068867,OK,10/15/18 2:30,120.5653,OK,10/15/18 2:30,0.8821694,OK,10/15/18 2:30,748.1147,OK,10/15/18 2:30,3527242,OK,
10/15/18 2:45,15.91281605,OK,10/15/18 2:45,394881.7188,OK,10/15/18 2:45,41049.33203,OK,10/15/18 2:45,25.40667343,OK,10/15/18 2:45,1444.715088,OK,10/15/18 2:45,50220944,OK,10/15/18 2:45,1.198774902,OK,10/15/18 2:45,184.0148926,OK,10/15/18 2:45,391.6590576,OK,10/15/18 2:45,13454530,OK,10/15/18 2:45,13983030,OK,10/15/18 2:45,14827850,OK,10/15/18 2:45,12894810,OK,10/15/18 2:45,16025030,OK,10/15/18 2:45,1.212555,OK,10/15/18 2:45,1.384233,OK,10/15/18 2:45,32906.82,OK,10/15/18 2:45,48.49532,OK,10/15/18 2:45,47.28276,OK,10/15/18 2:45,27.39801,OK,10/15/18 2:45,71.65271,OK,10/15/18 2:45,40.6962,OK,10/15/18 2:45,1642203,OK,10/15/18 2:45,6309512,OK,10/15/18 2:45,4092602,OK,10/15/18 2:45,4068962,OK,10/15/18 2:45,120.4736,OK,10/15/18 2:45,0.8690171,OK,10/15/18 2:45,779.6323,OK,10/15/18 2:45,3527924,OK,
10/15/18 3:00,20.59836006,OK,10/15/18 3:00,394886.5313,OK,10/15/18 3:00,41049.64063,OK,10/15/18 3:00,27.22507095,OK,10/15/18 3:00,1579.222534,OK,10/15/18 3:00,50221316,OK,10/15/18 3:00,1.310667603,OK,10/15/18 3:00,185.2156677,OK,10/15/18 3:00,391.5991211,OK,10/15/18 3:00,13454530,OK,10/15/18 3:00,13983030,OK,10/15/18 3:00,14827850,OK,10/15/18 3:00,12894810,OK,10/15/18 3:00,16025230,OK,10/15/18 3:00,1.489868,OK,10/15/18 3:00,1.645904,OK,10/15/18 3:00,32907.22,OK,10/15/18 3:00,48.84798,OK,10/15/18 3:00,47.38475,OK,10/15/18 3:00,27.38354,OK,10/15/18 3:00,72.57129,OK,10/15/18 3:00,40.47357,OK,10/15/18 3:00,1642225,OK,10/15/18 3:00,6309563,OK,10/15/18 3:00,4092603,OK,10/15/18 3:00,4069058,OK,10/15/18 3:00,120.5103,OK,10/15/18 3:00,0.9039454,OK,10/15/18 3:00,751.5916,OK,10/15/18 3:00,3528455,OK,
10/15/18 3:15,11.20316505,OK,10/15/18 3:15,394891.1875,OK,10/15/18 3:15,41049.96094,OK,10/15/18 3:15,26.5507412,OK,10/15/18 3:15,1524.01062,OK,10/15/18 3:15,50221704,OK,10/15/18 3:15,1.26453479,OK,10/15/18 3:15,183.5487671,OK,10/15/18 3:15,391.5762939,OK,10/15/18 3:15,13454530,OK,10/15/18 3:15,13983030,OK,10/15/18 3:15,14827850,OK,10/15/18 3:15,12894810,OK,10/15/18 3:15,16025410,OK,10/15/18 3:15,0.3582458,OK,10/15/18 3:15,0.4071255,OK,10/15/18 3:15,32907.6,OK,10/15/18 3:15,49.06676,OK,10/15/18 3:15,48.73598,OK,10/15/18 3:15,27.2746,OK,10/15/18 3:15,72.16437,OK,10/15/18 3:15,40.91634,OK,10/15/18 3:15,1642247,OK,10/15/18 3:15,6309614,OK,10/15/18 3:15,4092604,OK,10/15/18 3:15,4069152,OK,10/15/18 3:15,120.6295,OK,10/15/18 3:15,0.8695098,OK,10/15/18 3:15,769.5464,OK,10/15/18 3:15,3528881,OK,
10/15/18 3:30,20.60674858,OK,10/15/18 3:30,394895.75,OK,10/15/18 3:30,41050.27734,OK,10/15/18 3:30,25.47019005,OK,10/15/18 3:30,1453.665894,OK,10/15/18 3:30,50222080,OK,10/15/18 3:30,1.206599609,OK,10/15/18 3:30,185.1139069,OK,10/15/18 3:30,391.3488464,OK,10/15/18 3:30,13454530,OK,10/15/18 3:30,13983030,OK,10/15/18 3:30,14827850,OK,10/15/18 3:30,12894810,OK,10/15/18 3:30,16025640,OK,10/15/18 3:30,1.585114,OK,10/15/18 3:30,1.808522,OK,10/15/18 3:30,32907.99,OK,10/15/18 3:30,49.42833,OK,10/15/18 3:30,47.83696,OK,10/15/18 3:30,27.353,OK,10/15/18 3:30,72.24774,OK,10/15/18 3:30,40.70569,OK,10/15/18 3:30,1642268,OK,10/15/18 3:30,6309665,OK,10/15/18 3:30,4092605,OK,10/15/18 3:30,4069263,OK,10/15/18 3:30,120.6341,OK,10/15/18 3:30,0.8515842,OK,10/15/18 3:30,879.6804,OK,10/15/18 3:30,3528896,OK,
10/15/18 3:45,20.73397255,OK,10/15/18 3:45,394900.3125,OK,10/15/18 3:45,41050.57422,OK,10/15/18 3:45,25.5488987,OK,10/15/18 3:45,1459.371826,OK,10/15/18 3:45,50222440,OK,10/15/18 3:45,1.211905151,OK,10/15/18 3:45,185.0712128,OK,10/15/18 3:45,390.4245605,OK,10/15/18 3:45,13454530,OK,10/15/18 3:45,13983030,OK,10/15/18 3:45,14827850,OK,10/15/18 3:45,12894810,OK,10/15/18 3:45,16025860,OK,10/15/18 3:45,1.511841,OK,10/15/18 3:45,1.721512,OK,10/15/18 3:45,32908.37,OK,10/15/18 3:45,49.80315,OK,10/15/18 3:45,48.29131,OK,10/15/18 3:45,27.32846,OK,10/15/18 3:45,72.45142,OK,10/15/18 3:45,40.84068,OK,10/15/18 3:45,1642290,OK,10/15/18 3:45,6309717,OK,10/15/18 3:45,4092606,OK,10/15/18 3:45,4069375,OK,10/15/18 3:45,120.5103,OK,10/15/18 3:45,0.8473726,OK,10/15/18 3:45,894.2867,OK,10/15/18 3:45,3528971,OK,
10/15/18 4:00,20.87161255,OK,10/15/18 4:00,394905.25,OK,10/15/18 4:00,41050.875,OK,10/15/18 4:00,25.56614685,OK,10/15/18 4:00,1443.340332,OK,10/15/18 4:00,50222804,OK,10/15/18 4:00,1.198692383,OK,10/15/18 4:00,184.120285,OK,10/15/18 4:00,389.9714355,OK,10/15/18 4:00,13454530,OK,10/15/18 4:00,13983030,OK,10/15/18 4:00,14827850,OK,10/15/18 4:00,12894810,OK,10/15/18 4:00,16026090,OK,10/15/18 4:00,1.555786,OK,10/15/18 4:00,1.772418,OK,10/15/18 4:00,32908.78,OK,10/15/18 4:00,49.90199,OK,10/15/18 4:00,48.34621,OK,10/15/18 4:00,27.34183,OK,10/15/18 4:00,72.82642,OK,10/15/18 4:00,40.71574,OK,10/15/18 4:00,1642312,OK,10/15/18 4:00,6309769,OK,10/15/18 4:00,4092606,OK,10/15/18 4:00,4069490,OK,10/15/18 4:00,120.4599,OK,10/15/18 4:00,0.8295671,OK,10/15/18 4:00,915.0895,OK,10/15/18 4:00,3529152,OK,
10/15/18 4:15,17.60309982,OK,10/15/18 4:15,394910.1563,OK,10/15/18 4:15,41051.1875,OK,10/15/18 4:15,26.32567024,OK,10/15/18 4:15,1507.040283,OK,10/15/18 4:15,50223180,OK,10/15/18 4:15,1.251531982,OK,10/15/18 4:15,183.1655884,OK,10/15/18 4:15,389.7929688,OK,10/15/18 4:15,13454530,OK,10/15/18 4:15,13983030,OK,10/15/18 4:15,14827850,OK,10/15/18 4:15,12894810,OK,10/15/18 4:15,16026320,OK,10/15/18 4:15,1.096558,OK,10/15/18 4:15,1.249162,OK,10/15/18 4:15,32909.19,OK,10/15/18 4:15,49.61449,OK,10/15/18 4:15,48.51793,OK,10/15/18 4:15,27.34,OK,10/15/18 4:15,73.07867,OK,10/15/18 4:15,40.71338,OK,10/15/18 4:15,1642333,OK,10/15/18 4:15,6309821,OK,10/15/18 4:15,4092608,OK,10/15/18 4:15,4069606,OK,10/15/18 4:15,120.5928,OK,10/15/18 4:15,0.8323467,OK,10/15/18 4:15,921.7998,OK,10/15/18 4:15,3529204,OK,
10/15/18 4:30,20.5359726,OK,10/15/18 4:30,394914.7188,OK,10/15/18 4:30,41051.50391,OK,10/15/18 4:30,26.1500473,OK,10/15/18 4:30,1501.530884,OK,10/15/18 4:30,50223560,OK,10/15/18 4:30,1.247261719,OK,10/15/18 4:30,184.8700714,OK,10/15/18 4:30,389.8262634,OK,10/15/18 4:30,13454530,OK,10/15/18 4:30,13983030,OK,10/15/18 4:30,14827850,OK,10/15/18 4:30,12894810,OK,10/15/18 4:30,16026550,OK,10/15/18 4:30,1.34494,OK,10/15/18 4:30,1.566165,OK,10/15/18 4:30,32909.58,OK,10/15/18 4:30,49.90788,OK,10/15/18 4:30,48.55009,OK,10/15/18 4:30,27.28745,OK,10/15/18 4:30,73.22485,OK,10/15/18 4:30,40.85968,OK,10/15/18 4:30,1642355,OK,10/15/18 4:30,6309874,OK,10/15/18 4:30,4092609,OK,10/15/18 4:30,4069727,OK,10/15/18 4:30,120.6616,OK,10/15/18 4:30,0.8271416,OK,10/15/18 4:30,952.826,OK,10/15/18 4:30,3529369,OK,
10/15/18 4:45,12.73775959,OK,10/15/18 4:45,394918.8125,OK,10/15/18 4:45,41051.80859,OK,10/15/18 4:45,24.97214127,OK,10/15/18 4:45,1415.617676,OK,10/15/18 4:45,50223924,OK,10/15/18 4:45,1.176239136,OK,10/15/18 4:45,184.2754059,OK,10/15/18 4:45,389.0862427,OK,10/15/18 4:45,13454530,OK,10/15/18 4:45,13983030,OK,10/15/18 4:45,14827850,OK,10/15/18 4:45,12894810,OK,10/15/18 4:45,16026800,OK,10/15/18 4:45,1.108398,OK,10/15/18 4:45,1.260822,OK,10/15/18 4:45,32909.91,OK,10/15/18 4:45,50.60686,OK,10/15/18 4:45,49.49947,OK,10/15/18 4:45,27.28851,OK,10/15/18 4:45,73.2345,OK,10/15/18 4:45,40.95367,OK,10/15/18 4:45,1642377,OK,10/15/18 4:45,6309927,OK,10/15/18 4:45,4092610,OK,10/15/18 4:45,4069852,OK,10/15/18 4:45,120.5974,OK,10/15/18 4:45,0.8110061,OK,10/15/18 4:45,1022.403,OK,10/15/18 4:45,3529382,OK,
10/15/18 5:00,21.41751671,OK,10/15/18 5:00,394923.4688,OK,10/15/18 5:00,41052.10547,OK,10/15/18 5:00,25.16444778,OK,10/15/18 5:00,1430.271606,OK,10/15/18 5:00,50224284,OK,10/15/18 5:00,1.188748779,OK,10/15/18 5:00,184.49263,OK,10/15/18 5:00,388.6068115,OK,10/15/18 5:00,13454530,OK,10/15/18 5:00,13983030,OK,10/15/18 5:00,14827850,OK,10/15/18 5:00,12894810,OK,10/15/18 5:00,16027060,OK,10/15/18 5:00,1.659943,OK,10/15/18 5:00,1.819964,OK,10/15/18 5:00,32910.3,OK,10/15/18 5:00,50.45027,OK,10/15/18 5:00,48.84831,OK,10/15/18 5:00,27.29886,OK,10/15/18 5:00,73.07916,OK,10/15/18 5:00,40.90504,OK,10/15/18 5:00,1642399,OK,10/15/18 5:00,6309981,OK,10/15/18 5:00,4092611,OK,10/15/18 5:00,4069988,OK,10/15/18 5:00,120.492,OK,10/15/18 5:00,0.8144373,OK,10/15/18 5:00,1032.043,OK,10/15/18 5:00,3529563,OK,
